iter	F1	Logloss
0	0.8939151858	0.6156118888
1	0.8945072546	0.5519025315
2	0.896406299	0.4956804583
3	0.895768368	0.4477786019
4	0.895237269	0.4054128072
5	0.896776025	0.3700020986
6	0.8958564456	0.3397144542
7	0.8958521374	0.3133333518
8	0.8961125485	0.2900958686
9	0.8959968686	0.270230877
10	0.8959011175	0.2540957484
11	0.8954451683	0.2400005297
12	0.8955432067	0.2273758971
13	0.8966178215	0.2166190731
14	0.8969070969	0.2062768556
15	0.8967993674	0.1980694369
16	0.8973823512	0.1904181865
17	0.8974771608	0.1837921922
18	0.8973604857	0.1752849534
19	0.8980205474	0.1688944071
20	0.8985426837	0.1628997437
21	0.8982449601	0.1588621449
22	0.8983614165	0.1538461699
23	0.8973386037	0.1501485534
24	0.8976019438	0.1456802072
25	0.8979343423	0.1431489845
26	0.89789111	0.1409368293
27	0.897990342	0.1383278217
28	0.8988659909	0.1354278763
29	0.9001497939	0.1323070182
30	0.9005039494	0.1294531602
31	0.9009458685	0.1265400283
32	0.9010715913	0.125362258
33	0.9014302984	0.1232833343
34	0.9020249405	0.1217628703
35	0.9038113066	0.1203410622
36	0.9054793297	0.1189473104
37	0.9055361387	0.1176925029
38	0.9058128331	0.1169315536
39	0.9060882975	0.11580732
40	0.9061221241	0.1146206571
41	0.9064154013	0.1132687356
42	0.9072502671	0.1121505748
43	0.907671635	0.1113399541
44	0.9078338655	0.1106263012
45	0.9079479	0.1100474217
46	0.9081149891	0.1093948665
47	0.9079255209	0.1084293532
48	0.9083121251	0.1073509757
49	0.9084967628	0.1066143398
50	0.9090546354	0.1060773053
51	0.909748253	0.1050609577
52	0.9099416032	0.1040645365
53	0.9100471016	0.1033756977
54	0.9103148482	0.1028047566
55	0.9110745679	0.1020934336
56	0.9110525637	0.1015621084
57	0.9113862104	0.100690661
58	0.9113113789	0.09995481598
59	0.911499705	0.0994798163
60	0.9119289652	0.09890482386
61	0.9119817948	0.09832131134
62	0.9129656729	0.09771833367
63	0.9134978984	0.0973387888
64	0.9137250713	0.0969157098
65	0.9141880262	0.09626886303
66	0.9142981598	0.0958967469
67	0.9142452924	0.0954642867
68	0.9142585086	0.09493661082
69	0.9142805366	0.09458046518
70	0.9143290019	0.09378212555
71	0.9145471766	0.09300366324
72	0.9147079969	0.09270022034
73	0.9150999269	0.09243443024
74	0.9155356454	0.09198626313
75	0.9156872914	0.09143747561
76	0.9161005519	0.09102658675
77	0.9161269982	0.09057037821
78	0.9163225055	0.09016493512
79	0.9168909712	0.08979499687
80	0.9168557066	0.08949753332
81	0.9168512987	0.08906158756
82	0.9174764349	0.08865893949
83	0.9178796196	0.08838386856
84	0.9178708015	0.08811303475
85	0.9182163878	0.08782309954
86	0.9184419838	0.08744520439
87	0.918663104	0.08711584803
88	0.9192466746	0.08648577846
89	0.9196969242	0.08591999607
90	0.9197278142	0.08565434557
91	0.9199883388	0.08538151175
92	0.9200148223	0.08509092794
93	0.9202973699	0.08482149667
94	0.9204915585	0.08452844457
95	0.9210913679	0.08418171859
96	0.921835677	0.08400946665
97	0.9220778874	0.08370362783
98	0.9226672003	0.08346090717
99	0.9226230318	0.08275648538
100	0.9226009491	0.08253278683
101	0.9227633865	0.08218784044
102	0.9230052515	0.08184614251
103	0.9228605547	0.08162076707
104	0.9230626743	0.08147309061
105	0.9231024328	0.08118734087
106	0.9235020519	0.0809175101
107	0.9235241434	0.0805101112
108	0.923927908	0.08018222365
109	0.9241296876	0.07975328116
110	0.924291627	0.07961338249
111	0.9242783706	0.07926604722
112	0.9244755916	0.07888126002
113	0.9250403264	0.07858460164
114	0.9252814671	0.07823796573
115	0.9256530547	0.0778803533
116	0.9257635654	0.07755482874
117	0.9261525642	0.07720102666
118	0.9261437218	0.0768682812
119	0.9261083538	0.07656070889
120	0.9262740132	0.0757882948
121	0.9262386489	0.07555063606
122	0.9262165476	0.07517125531
123	0.9265260619	0.07482623491
124	0.9265172157	0.07466505851
125	0.9269013905	0.07443119334
126	0.927289714	0.07408364852
127	0.9271154924	0.0737333017
128	0.9274771374	0.07341301993
129	0.9278031185	0.07313557452
130	0.928016876	0.07280269989
131	0.9283734083	0.07256908929
132	0.9283601375	0.07228309611
133	0.928346867	0.07192848287
134	0.9283689846	0.07169196108
135	0.9287650561	0.07139936504
136	0.9293652912	0.0711651708
137	0.92977396	0.07088034821
138	0.9298359157	0.07068737837
